,city,date,price,state
125,Baton Rouge,2021-01-01,1178.700711,Louisiana
126,Birmingham,2021-01-01,1101.095837,Alabama
127,Boise City,2021-01-01,1354.81054,Idaho
128,Boston,2021-01-01,2349.511165,Massachusetts
129,Boulder,2021-01-01,2057.831589,Colorado
130,Bradenton,2021-01-01,2142.378664,Florida
131,Buffalo,2021-01-01,1144.969742,New York
132,Charleston,2021-01-01,1553.487771,South Carolina
133,Charlotte,2021-01-01,1509.106814,North Carolina
134,Chattanooga,2021-01-01,1259.922398,Tennessee
135,Chicago,2021-01-01,1674.319333,Illinois
136,Cincinnati,2021-01-01,1302.908241,Ohio
137,Cleveland,2021-01-01,1133.775517,Ohio
138,Colorado Springs,2021-01-01,1559.721146,Colorado
139,Columbia,2021-01-01,1197.164031,South Carolina
140,Columbus,2021-01-01,1324.396365,Ohio
141,Dallas,2021-01-01,1554.404719,Texas
142,Dayton,2021-01-01,1110.748369,Ohio
143,Daytona Beach,2021-01-01,1466.008831,Florida
144,Denver,2021-01-01,1734.230582,Colorado
145,Des Moines,2021-01-01,1138.327364,Iowa
146,Detroit,2021-01-01,1301.512146,Michigan
147,Durham,2021-01-01,1399.149468,North Carolina
148,El Paso,2021-01-01,1177.249744,Texas
149,Fort Collins,2021-01-01,1547.222987,Colorado
150,Fort Lauderdale,2021-01-01,1930.235223,Florida
151,Fort Myers,2021-01-01,1917.206031,Florida
152,Fort Worth,2021-01-01,1554.404719,Texas
153,Fresno,2021-01-01,1564.306696,California
154,Gainesville,2021-01-01,1391.490942,Georgia
155,Grand Rapids,2021-01-01,1249.15667,Michigan
156,Greeley,2021-01-01,1588.264707,Colorado
157,Greensboro,2021-01-01,1243.053143,North Carolina
158,Greenville,2021-01-01,1299.396428,South Carolina
159,Harrisburg,2021-01-01,1145.456919,Pennsylvania
160,Hartford,2021-01-01,1382.398275,Connecticut
161,Honolulu,2021-01-01,2104.775342,Hawaii
162,Houston,2021-01-01,1477.681453,Texas
163,Indianapolis,2021-01-01,1264.964433,Indiana
164,Jackson,2021-01-01,1264.083335,Mississippi
165,Jacksonville,2021-01-01,1378.577889,Florida
166,Jefferson County,2021-01-01,988.4926988,Kentucky
167,Kansas City,2021-01-01,1196.186478,Missouri
168,Knoxville,2021-01-01,1350.140701,Tennessee
169,Lakeland,2021-01-01,1454.731597,Florida
170,Las Vegas,2021-01-01,1445.584006,Nevada
171,Little Rock,2021-01-01,922.8466877,Arkansas
172,Long Beach,2021-01-01,2572.042204,California
173,Los Angeles,2021-01-01,2572.042204,California
174,Louisville,2021-01-01,988.4926988,Kentucky
175,Madison,2021-01-01,1349.216481,Wisconsin
176,Melbourne,2021-01-01,1548.999206,Florida
177,Memphis,2021-01-01,1312.509851,Tennessee
178,Miami,2021-01-01,1930.235223,Florida
179,Milwaukee,2021-01-01,1221.710774,Wisconsin
180,Minneapolis,2021-01-01,1544.229901,Minnesota
181,Nashville,2021-01-01,1606.097341,Tennessee
182,New Haven,2021-01-01,1461.664121,Connecticut
183,New Orleans,2021-01-01,1407.628632,Louisiana
184,New York,2021-01-01,2617.785584,New York
185,North Port,2021-01-01,2142.378664,Florida
186,Ogden,2021-01-01,1367.962482,Utah
187,Oklahoma City,2021-01-01,1084.242039,Oklahoma
188,Omaha,2021-01-01,1243.958589,Nebraska
189,Orlando,2021-01-01,1591.384076,Florida
190,Philadelphia,2021-01-01,1606.956561,Pennsylvania
191,Phoenix,2021-01-01,1528.716121,Arizona
192,Pittsburgh,2021-01-01,1206.585375,Pennsylvania
193,Port St. Lucie,2021-01-01,1748.657595,Florida
194,Portland,2021-01-01,1656.750185,Oregon
195,Providence,2021-01-01,1562.284369,Rhode Island
196,Provo,2021-01-01,1358.349667,Utah
197,Raleigh,2021-01-01,1501.706195,North Carolina
198,Richmond,2021-01-01,1320.479011,Virginia
199,Riverside,2021-01-01,2157.365084,California
200,Rochester,2021-01-01,1164.183226,New York
201,Sacramento,2021-01-01,1913.115864,California
202,Salem,2021-01-01,1246.594191,North Carolina
203,Salt Lake City,2021-01-01,1395.442551,Utah
204,San Antonio,2021-01-01,1327.8968,Texas
205,San Diego,2021-01-01,2321.041767,California
206,San Francisco,2021-01-01,3067.741406,California
207,San Jose,2021-01-01,3011.371752,California
208,Sarasota,2021-01-01,2142.378664,Florida
209,Scranton,2021-01-01,918.9642614,Pennsylvania
210,Seattle,2021-01-01,1952.801607,Washington
211,Spokane,2021-01-01,1334.584604,Washington
212,Springfield,2021-01-01,1318.199734,Massachusetts
213,St. Louis,2021-01-01,1153.470309,Missouri
214,St. Paul,2021-01-01,1544.229901,Minnesota
215,Stamford,2021-01-01,2150.913485,Connecticut
216,Stockton,2021-01-01,2086.569376,California
217,Syracuse,2021-01-01,1152.831051,New York
218,Tampa,2021-01-01,1554.807163,Florida
219,Toledo,2021-01-01,891.0771513,Ohio
220,Tucson,2021-01-01,1233.913878,Arizona
221,Tulsa,2021-01-01,1181.585754,Oklahoma
222,United States,2021-01-01,1737.61243,United States
223,Ventura,2021-01-01,2722.212807,California
224,Virginia Beach,2021-01-01,1374.936103,Virginia
225,Washington,2021-01-01,2053.414136,District of Columbia
226,Wichita,2021-01-01,917.1516408,Kansas
227,Winston,2021-01-01,1246.594191,North Carolina
228,Worcester,2021-01-01,1462.129377,Massachusetts
229,Youngstown,2021-01-01,844.0151129,Ohio
230,Akron,2021-02-01,924.4064452,Ohio
231,Albany,2021-02-01,1332.407669,New York
232,Albuquerque,2021-02-01,1226.764109,New Mexico
233,Allentown,2021-02-01,1362.522972,Pennsylvania
234,Anaheim,2021-02-01,2571.266283,California
235,Atlanta,2021-02-01,1589.6689,Georgia
236,Augusta,2021-02-01,1150.899845,Georgia
237,Austin,2021-02-01,1534.707989,Texas
238,Bakersfield,2021-02-01,1389.529527,California
239,Baltimore,2021-02-01,1640.44512,Maryland
240,Baton Rouge,2021-02-01,1181.586754,Louisiana
241,Birmingham,2021-02-01,1107.097574,Alabama
242,Boise City,2021-02-01,1373.524445,Idaho
