,city,date,price,state
109,Virginia Beach,2014-01-01,1186.460944,Virginia
110,Washington,2014-01-01,1852.06679,District of Columbia
111,Wichita,2014-01-01,843.1063706,Kansas
112,Winston,2014-01-01,971.512592,North Carolina
113,Worcester,2014-01-01,1029.241506,Massachusetts
114,Youngstown,2014-01-01,734.7684517,Ohio
115,Akron,2014-02-01,752.9043298,Ohio
116,Albany,2014-02-01,1114.102213,New York
117,Albuquerque,2014-02-01,975.6689977,New Mexico
118,Allentown,2014-02-01,1088.776516,Pennsylvania
119,Anaheim,2014-02-01,1885.27453,California
120,Atlanta,2014-02-01,1124.928007,Georgia
121,Augusta,2014-02-01,963.3918453,Georgia
122,Austin,2014-02-01,1248.462797,Texas
123,Bakersfield,2014-02-01,1051.014101,California
124,Baltimore,2014-02-01,1482.574619,Maryland
125,Baton Rouge,2014-02-01,1044.902194,Louisiana
126,Birmingham,2014-02-01,917.3826611,Alabama
127,Boise City,2014-02-01,875.0919412,Idaho
128,Boston,2014-02-01,1990.146344,Massachusetts
129,Boulder,2014-02-01,1555.894045,Colorado
130,Bradenton,2014-02-01,1645.204535,Florida
131,Buffalo,2014-02-01,878.431796,New York
132,Charleston,2014-02-01,1181.97443,South Carolina
133,Charlotte,2014-02-01,1128.643045,North Carolina
134,Chattanooga,2014-02-01,906.2765969,Tennessee
135,Chicago,2014-02-01,1458.897098,Illinois
136,Cincinnati,2014-02-01,997.8485414,Ohio
137,Cleveland,2014-02-01,970.1847825,Ohio
138,Colorado Springs,2014-02-01,1057.157,Colorado
139,Columbia,2014-02-01,967.5468004,South Carolina
140,Columbus,2014-02-01,1015.900954,Ohio
141,Dallas,2014-02-01,1202.253532,Texas
142,Dayton,2014-02-01,836.976809,Ohio
143,Daytona Beach,2014-02-01,1020.818267,Florida
144,Denver,2014-02-01,1234.115609,Colorado
145,Des Moines,2014-02-01,987.8180346,Iowa
146,Detroit,2014-02-01,1043.794403,Michigan
147,Durham,2014-02-01,1136.734228,North Carolina
