,date,price,city,state
115,2014-02-01,763.0,Akron,Ohio
116,2014-02-01,1094.0,Albany,New York
117,2014-02-01,975.0,Albuquerque,New Mexico
118,2014-02-01,1055.0,Allentown,Pennsylvania
119,2014-02-01,1886.0,Anaheim,California
120,2014-02-01,1127.0,Atlanta,Georgia
121,2014-02-01,937.0,Augusta,Georgia
122,2014-02-01,1250.0,Austin,Texas
123,2014-02-01,1046.0,Bakersfield,California
124,2014-02-01,1481.0,Baltimore,Maryland
125,2014-02-01,1037.0,Baton Rouge,Louisiana
126,2014-02-01,919.0,Birmingham,Alabama
127,2014-02-01,892.0,Boise City,Idaho
128,2014-02-01,2004.0,Boston,Massachusetts
129,2014-02-01,1496.0,Boulder,Colorado
130,2014-02-01,1650.0,Bradenton,Florida
131,2014-02-01,869.0,Buffalo,New York
132,2014-02-01,1178.0,Charleston,South Carolina
133,2014-02-01,1132.0,Charlotte,North Carolina
134,2014-02-01,913.0,Chattanooga,Tennessee
135,2014-02-01,1461.0,Chicago,Illinois
136,2014-02-01,1004.0,Cincinnati,Ohio
137,2014-02-01,977.0,Cleveland,Ohio
138,2014-02-01,1056.0,Colorado Springs,Colorado
139,2014-02-01,963.0,Columbia,South Carolina
140,2014-02-01,1022.0,Columbus,Ohio
141,2014-02-01,1202.0,Dallas,Texas
142,2014-02-01,799.0,Dayton,Ohio
143,2014-02-01,1016.0,Daytona Beach,Florida
144,2014-02-01,1245.0,Denver,Colorado
145,2014-02-01,988.0,Des Moines,Iowa
146,2014-02-01,1044.0,Detroit,Michigan
147,2014-02-01,1143.0,Durham,North Carolina
148,2014-02-01,1037.0,El Paso,Texas
149,2014-02-01,1159.0,Fort Collins,Colorado
150,2014-02-01,1557.0,Fort Lauderdale,Florida
151,2014-02-01,1299.0,Fort Myers,Florida
152,2014-02-01,1202.0,Fort Worth,Texas
153,2014-02-01,1127.0,Fresno,California
154,2014-02-01,959.0,Gainesville,Georgia
155,2014-02-01,841.0,Grand Rapids,Michigan
156,2014-02-01,1135.0,Greeley,Colorado
157,2014-02-01,982.0,Greensboro,North Carolina
158,2014-02-01,1018.0,Greenville,South Carolina
159,2014-02-01,976.0,Harrisburg,Pennsylvania
160,2014-02-01,1135.0,Hartford,Connecticut
161,2014-02-01,1673.0,Honolulu,Hawaii
162,2014-02-01,1248.0,Houston,Texas
163,2014-02-01,991.0,Indianapolis,Indiana
164,2014-02-01,1075.0,Jackson,Mississippi
165,2014-02-01,1079.0,Jacksonville,Florida
166,2014-02-01,786.0,Jefferson County,Kentucky
167,2014-02-01,943.0,Kansas City,Missouri
168,2014-02-01,1030.0,Knoxville,Tennessee
169,2014-02-01,1064.0,Lakeland,Florida
170,2014-02-01,1039.0,Las Vegas,Nevada
171,2014-02-01,800.0,Little Rock,Arkansas
172,2014-02-01,1886.0,Long Beach,California
173,2014-02-01,1886.0,Los Angeles,California
174,2014-02-01,786.0,Louisville,Kentucky
175,2014-02-01,1147.0,Madison,Wisconsin
176,2014-02-01,1022.0,Melbourne,Florida
177,2014-02-01,1041.0,Memphis,Tennessee
178,2014-02-01,1557.0,Miami,Florida
179,2014-02-01,1031.0,Milwaukee,Wisconsin
180,2014-02-01,1207.0,Minneapolis,Minnesota
181,2014-02-01,1170.0,Nashville,Tennessee
182,2014-02-01,1173.0,New Haven,Connecticut
183,2014-02-01,1184.0,New Orleans,Louisiana
184,2014-02-01,2351.0,New York,New York
185,2014-02-01,1650.0,North Port,Florida
186,2014-02-01,885.0,Ogden,Utah
187,2014-02-01,963.0,Oklahoma City,Oklahoma
188,2014-02-01,948.0,Omaha,Nebraska
189,2014-02-01,1197.0,Orlando,Florida
190,2014-02-01,1346.0,Philadelphia,Pennsylvania
191,2014-02-01,1003.0,Phoenix,Arizona
192,2014-02-01,977.0,Pittsburgh,Pennsylvania
193,2014-02-01,1180.0,Port St. Lucie,Florida
194,2014-02-01,1168.0,Portland,Oregon
195,2014-02-01,1172.0,Providence,Rhode Island
196,2014-02-01,1017.0,Provo,Utah
197,2014-02-01,1230.0,Raleigh,North Carolina
198,2014-02-01,1071.0,Richmond,Virginia
199,2014-02-01,1501.0,Riverside,California
200,2014-02-01,934.0,Rochester,New York
201,2014-02-01,1253.0,Sacramento,California
202,2014-02-01,1005.0,Salem,North Carolina
203,2014-02-01,1036.0,Salt Lake City,Utah
204,2014-02-01,1064.0,San Antonio,Texas
205,2014-02-01,1691.0,San Diego,California
206,2014-02-01,2258.0,San Francisco,California
207,2014-02-01,2119.0,San Jose,California
208,2014-02-01,1650.0,Sarasota,Florida
209,2014-02-01,734.0,Scranton,Pennsylvania
210,2014-02-01,1378.0,Seattle,Washington
211,2014-02-01,936.0,Spokane,Washington
212,2014-02-01,1132.0,Springfield,Massachusetts
213,2014-02-01,954.0,St. Louis,Missouri
214,2014-02-01,1207.0,St. Paul,Minnesota
215,2014-02-01,1774.0,Stamford,Connecticut
216,2014-02-01,1359.0,Stockton,California
217,2014-02-01,924.0,Syracuse,New York
218,2014-02-01,1136.0,Tampa,Florida
219,2014-02-01,754.0,Toledo,Ohio
220,2014-02-01,920.0,Tucson,Arizona
221,2014-02-01,995.0,Tulsa,Oklahoma
222,2014-02-01,1376.0,United States,United States
223,2014-02-01,2054.0,Ventura,California
224,2014-02-01,1191.0,Virginia Beach,Virginia
225,2014-02-01,1859.0,Washington,District of Columbia
226,2014-02-01,755.0,Wichita,Kansas
227,2014-02-01,1005.0,Winston,North Carolina
228,2014-02-01,1041.0,Worcester,Massachusetts
229,2014-02-01,608.0,Youngstown,Ohio
230,2014-03-01,757.0,Akron,Ohio
231,2014-03-01,1103.0,Albany,New York
232,2014-03-01,978.0,Albuquerque,New Mexico
233,2014-03-01,1067.0,Allentown,Pennsylvania
234,2014-03-01,1891.0,Anaheim,California
235,2014-03-01,1129.0,Atlanta,Georgia
236,2014-03-01,955.0,Augusta,Georgia
237,2014-03-01,1251.0,Austin,Texas
238,2014-03-01,1049.0,Bakersfield,California
239,2014-03-01,1488.0,Baltimore,Maryland
240,2014-03-01,1048.0,Baton Rouge,Louisiana
241,2014-03-01,917.0,Birmingham,Alabama
242,2014-03-01,881.0,Boise City,Idaho
243,2014-03-01,1997.0,Boston,Massachusetts
244,2014-03-01,1568.0,Boulder,Colorado
245,2014-03-01,1639.0,Bradenton,Florida
246,2014-03-01,889.0,Buffalo,New York
247,2014-03-01,1187.0,Charleston,South Carolina
248,2014-03-01,1134.0,Charlotte,North Carolina
249,2014-03-01,913.0,Chattanooga,Tennessee
250,2014-03-01,1464.0,Chicago,Illinois
251,2014-03-01,1002.0,Cincinnati,Ohio
252,2014-03-01,971.0,Cleveland,Ohio
253,2014-03-01,1058.0,Colorado Springs,Colorado
254,2014-03-01,943.0,Columbia,South Carolina
255,2014-03-01,1022.0,Columbus,Ohio
256,2014-03-01,1207.0,Dallas,Texas
257,2014-03-01,855.0,Dayton,Ohio
258,2014-03-01,1022.0,Daytona Beach,Florida
259,2014-03-01,1250.0,Denver,Colorado
260,2014-03-01,991.0,Des Moines,Iowa
261,2014-03-01,1047.0,Detroit,Michigan
262,2014-03-01,1138.0,Durham,North Carolina
263,2014-03-01,1044.0,El Paso,Texas
264,2014-03-01,1182.0,Fort Collins,Colorado
265,2014-03-01,1559.0,Fort Lauderdale,Florida
266,2014-03-01,1320.0,Fort Myers,Florida
267,2014-03-01,1207.0,Fort Worth,Texas
268,2014-03-01,1123.0,Fresno,California
269,2014-03-01,968.0,Gainesville,Georgia
270,2014-03-01,842.0,Grand Rapids,Michigan
271,2014-03-01,1166.0,Greeley,Colorado
272,2014-03-01,978.0,Greensboro,North Carolina
