,State,City,Walk Score,Transit Score,Bike Score,Population
2463,WI,Superior,42,24,50,"27,244"
2464,WI,Stevens Point,45,--,64,"26,717"
2465,WI,Mount Pleasant,18,--,37,"26,197"
2466,WI,Neenah,42,--,51,"25,501"
2467,WI,Fitchburg,29,21,57,"25,260"
2468,WI,Caledonia,8,--,33,"24,705"
2469,WI,Muskego,14,--,41,"24,135"
2470,WI,Watertown,37,--,42,"23,861"
2471,WI,De Pere,30,17,43,"23,800"
2472,WI,Mequon,10,--,34,"23,132"
2473,WI,South Milwaukee,41,33,52,"21,156"
2474,WI,Germantown,21,3,35,"19,749"
2475,WI,Pleasant Prairie,9,--,36,"19,719"
2476,WI,Marshfield,37,--,56,"19,118"
2477,WI,Wisconsin Rapids,39,--,53,"18,367"
2478,WI,Cudahy,49,34,54,"18,267"
2479,WI,Onalaska,28,10,42,"17,736"
2480,WI,Middleton,44,25,57,"17,442"
2481,WI,Howard,16,--,39,"17,399"
2482,WI,Menasha,40,--,55,"17,353"
2483,WI,Ashwaubenon,29,20,42,"16,963"
2484,WV,Charleston (the largest city in West Virginia),32,--,28,"51,400"
2485,WV,Huntington,48,--,44,"49,138"
2486,WV,Parkersburg,45,--,37,"31,492"
2487,WV,Morgantown,54,--,41,"29,660"
2488,WV,Wheeling,36,--,35,"28,486"
2489,WV,Weirton,26,--,20,"19,746"
2490,WV,Fairmont,42,--,26,"18,704"
2491,WV,Beckley,34,--,27,"17,614"
2492,WV,Martinsburg,48,--,39,"17,227"
2493,WV,Clarksburg,40,--,28,"16,578"
2494,WY,Cheyenne,37,--,51,"59,466"
2495,WY,Casper,39,--,44,"55,316"
2496,WY,Laramie,34,--,67,"30,816"
2497,WY,Gillette,21,--,34,"29,087"
2498,WY,Rock Springs,29,--,32,"23,036"
2499,WY,Sheridan,30,--,45,"17,444"
