State,City,Walk Score,Transit Score,Bike Score,Population
SD,Sioux Falls,37,17,46,"153,888"
SD,Rapid City,29,--,36,"67,956"
SD,Aberdeen,35,--,66,"26,091"
SD,Brookings,39,--,58,"22,056"
SD,Watertown,35,--,50,"21,482"
