,State,City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Total_Crime,Violent_Crime_rate,Property_Crime_rate,Crime_rate,Crime_Group,Crime_Rank
5992,Oregon,Ontario,11044,82.0,2.0,10.0,11.0,59.0,673.0,75.0,541.0,57.0,5.0,760.0,0.74%,6.09%,6.88%,2,Fairly High
5993,Oregon,Oregon City,37723,107.0,0.0,13.0,10.0,84.0,644.0,54.0,516.0,74.0,9.0,760.0,0.28%,1.71%,2.01%,1,Low
5994,Oregon,Pendleton,16796,54.0,0.0,9.0,7.0,38.0,483.0,33.0,405.0,45.0,5.0,542.0,0.32%,2.88%,3.23%,3,Medium
5995,Oregon,Phoenix,4627,15.0,2.0,1.0,3.0,9.0,248.0,14.0,226.0,8.0,1.0,264.0,0.32%,5.36%,5.71%,2,Fairly High
5996,Oregon,Pilot Rock,1510,5.0,0.0,1.0,0.0,4.0,12.0,4.0,8.0,0.0,0.0,17.0,0.33%,0.79%,1.13%,5,Fairly Low
5997,Oregon,Portland,662114,3606.0,29.0,368.0,979.0,2230.0,34452.0,4200.0,23820.0,6432.0,252.0,38310.0,0.54%,5.20%,5.79%,2,Fairly High
5998,Oregon,Prineville,10479,38.0,0.0,5.0,3.0,30.0,223.0,26.0,187.0,10.0,0.0,261.0,0.36%,2.13%,2.49%,1,Low
5999,Oregon,Rainier,2017,2.0,0.0,1.0,0.0,1.0,48.0,7.0,40.0,1.0,0.0,50.0,0.10%,2.38%,2.48%,1,Low
6000,Oregon,Redmond,31558,71.0,0.0,7.0,7.0,57.0,1113.0,86.0,954.0,73.0,10.0,1194.0,0.22%,3.53%,3.78%,3,Medium
6001,Oregon,Reedsport,4123,16.0,0.0,3.0,1.0,12.0,145.0,17.0,116.0,12.0,1.0,162.0,0.39%,3.52%,3.93%,3,Medium
6002,Oregon,Rockaway Beach,1415,6.0,0.0,0.0,0.0,6.0,24.0,11.0,12.0,1.0,0.0,30.0,0.42%,1.70%,2.12%,1,Low
6003,Oregon,Rogue River,2365,7.0,1.0,3.0,0.0,3.0,103.0,6.0,87.0,10.0,2.0,112.0,0.30%,4.36%,4.74%,3,Medium
6004,Oregon,Roseburg,23447,78.0,0.0,18.0,20.0,40.0,1345.0,151.0,1084.0,110.0,9.0,1432.0,0.33%,5.74%,6.11%,2,Fairly High
6005,Oregon,Salem,175867,670.0,0.0,35.0,152.0,483.0,6488.0,680.0,4966.0,842.0,43.0,7201.0,0.38%,3.69%,4.09%,3,Medium
6006,Oregon,Scappoose,7592,11.0,0.0,3.0,0.0,8.0,65.0,3.0,57.0,5.0,1.0,77.0,0.14%,0.86%,1.01%,5,Fairly Low
6007,Oregon,Sherwood,19865,12.0,0.0,0.0,0.0,12.0,217.0,19.0,188.0,10.0,0.0,229.0,0.06%,1.09%,1.15%,5,Fairly Low
6008,Oregon,Silverton,10831,16.0,0.0,5.0,3.0,8.0,229.0,30.0,183.0,16.0,2.0,247.0,0.15%,2.11%,2.28%,1,Low
6009,Oregon,Springfield,63438,190.0,1.0,34.0,32.0,123.0,1978.0,169.0,1640.0,169.0,16.0,2184.0,0.30%,3.12%,3.44%,3,Medium
6010,Oregon,Stanfield,2094,6.0,0.0,0.0,1.0,5.0,42.0,12.0,26.0,4.0,1.0,49.0,0.29%,2.01%,2.34%,1,Low
6011,Oregon,Stayton,8318,16.0,0.0,0.0,1.0,15.0,236.0,26.0,186.0,24.0,1.0,253.0,0.19%,2.84%,3.04%,3,Medium
6012,Oregon,St. Helens,13900,41.0,0.0,9.0,4.0,28.0,139.0,14.0,111.0,14.0,4.0,184.0,0.29%,1.00%,1.32%,5,Fairly Low
6013,Oregon,Sutherlin,8136,24.0,0.0,4.0,1.0,19.0,223.0,30.0,173.0,20.0,1.0,248.0,0.29%,2.74%,3.05%,3,Medium
6014,Oregon,Talent,6604,9.0,0.0,1.0,0.0,8.0,160.0,7.0,142.0,11.0,1.0,170.0,0.14%,2.42%,2.57%,1,Low
6015,Oregon,The Dalles,15752,28.0,0.0,9.0,0.0,19.0,491.0,81.0,358.0,52.0,5.0,524.0,0.18%,3.12%,3.33%,3,Medium
6016,Oregon,Tigard,55621,119.0,0.0,13.0,29.0,77.0,1410.0,137.0,1158.0,115.0,9.0,1538.0,0.21%,2.54%,2.77%,1,Low
6017,Oregon,Toledo,3648,1.0,0.0,0.0,0.0,1.0,41.0,3.0,37.0,1.0,1.0,43.0,0.03%,1.12%,1.18%,5,Fairly Low
6018,Oregon,Tualatin,27788,63.0,0.0,8.0,17.0,38.0,765.0,62.0,641.0,62.0,2.0,830.0,0.23%,2.75%,2.99%,3,Medium
6019,Oregon,Umatilla,7202,8.0,0.0,2.0,0.0,6.0,88.0,14.0,62.0,12.0,0.0,96.0,0.11%,1.22%,1.33%,5,Fairly Low
6020,Oregon,Vernonia,2288,2.0,0.0,0.0,0.0,2.0,7.0,2.0,5.0,0.0,0.0,9.0,0.09%,0.31%,0.39%,5,Fairly Low
6021,Oregon,Warrenton,5772,21.0,0.0,3.0,8.0,10.0,407.0,23.0,374.0,10.0,4.0,432.0,0.36%,7.05%,7.48%,2,Fairly High
6022,Oregon,West Linn,26962,19.0,0.0,9.0,2.0,8.0,231.0,21.0,196.0,14.0,2.0,252.0,0.07%,0.86%,0.93%,5,Fairly Low
6023,Oregon,Winston,5515,10.0,0.0,1.0,0.0,9.0,145.0,19.0,89.0,37.0,0.0,155.0,0.18%,2.63%,2.81%,1,Low
6024,Oregon,Woodburn,26338,90.0,0.0,19.0,20.0,51.0,918.0,137.0,640.0,141.0,3.0,1011.0,0.34%,3.49%,3.84%,3,Medium
6025,Pennsylvania,"Abington Township, Montgomery County",55476,53.0,0.0,6.0,15.0,32.0,934.0,32.0,883.0,19.0,2.0,989.0,0.10%,1.68%,1.78%,1,Low
